module,kind,name,fields,field_count,path
audit,response,AuditAccessRecordResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'actorId'}, {'type': 'AuditAccessType', 'name': 'accessType'}, {'type': 'String', 'name': 'auditEventId'}, {'type': 'String', 'name': 'exportRequestId'}, {'type': 'Integer', 'name': 'resultCount'}, {'type': 'Instant', 'name': 'accessedAt'}]",7,src/main/java/dz/sh/hidra/modules/audit/api/rest/response/AuditAccessRecordResponse.java
audit,response,AuditEventResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'sourceModule'}, {'type': 'String', 'name': 'actionCode'}, {'type': 'AuditEventStatus', 'name': 'eventStatus'}, {'type': 'String', 'name': 'actorId'}, {'type': 'AuditActorType', 'name': 'actorType'}, {'type': 'String', 'name': 'targetModule'}, {'type': 'String', 'name': 'targetType'}, {'type': 'String', 'name': 'targetId'}, {'type': 'AuditOperation', 'name': 'operation'}, {'type': 'String', 'name': 'correlationId'}, {'type': 'Instant', 'name': 'occurredAt'}, {'type': 'Instant', 'name': 'recordedAt'}]",13,src/main/java/dz/sh/hidra/modules/audit/api/rest/response/AuditEventResponse.java
audit,response,AuditExportRequestResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'requestedByActorId'}, {'type': 'String', 'name': 'purposeId'}, {'type': 'String', 'name': 'format'}, {'type': 'AuditExportStatus', 'name': 'status'}, {'type': 'Integer', 'name': 'recordCount'}, {'type': 'Instant', 'name': 'requestedAt'}, {'type': 'Instant', 'name': 'completedAt'}]",8,src/main/java/dz/sh/hidra/modules/audit/api/rest/response/AuditExportRequestResponse.java
audit,response,package-info,[],0,src/main/java/dz/sh/hidra/modules/audit/api/rest/response/package-info.java
configuration,request,CreateConfigurationDefinitionRequest,"[{'type': 'String', 'name': 'namespaceId'}, {'type': 'String', 'name': 'key'}, {'type': 'String', 'name': 'displayNameFr'}, {'type': 'String', 'name': 'displayNameAr'}, {'type': 'String', 'name': 'displayNameEn'}, {'type': 'ConfigurationValueType', 'name': 'valueType'}, {'type': 'ConfigurationSensitivity', 'name': 'sensitivity'}, {'type': 'boolean', 'name': 'scoped'}, {'type': 'boolean', 'name': 'requiresApproval'}, {'type': 'String', 'name': 'defaultValue'}, {'type': 'String', 'name': 'description'}]",11,src/main/java/dz/sh/hidra/modules/configuration/api/rest/request/CreateConfigurationDefinitionRequest.java
configuration,request,CreateFeatureFlagRequest,"[{'type': 'String', 'name': 'code'}, {'type': 'String', 'name': 'nameFr'}, {'type': 'String', 'name': 'nameAr'}, {'type': 'String', 'name': 'nameEn'}, {'type': 'String', 'name': 'owningModule'}, {'type': 'FeatureFlagEvaluationStrategy', 'name': 'evaluationStrategy'}, {'type': 'boolean', 'name': 'defaultEnabled'}, {'type': 'String', 'name': 'description'}]",8,src/main/java/dz/sh/hidra/modules/configuration/api/rest/request/CreateFeatureFlagRequest.java
configuration,request,SetConfigurationValueRequest,"[{'type': 'String', 'name': 'definitionId'}, {'type': 'String', 'name': 'definitionVersionId'}, {'type': 'String', 'name': 'environment'}, {'type': 'String', 'name': 'rawValue'}, {'type': 'String', 'name': 'jsonValue'}, {'type': 'String', 'name': 'secretReference'}, {'type': 'Instant', 'name': 'effectiveFrom'}, {'type': 'Instant', 'name': 'effectiveTo'}, {'type': 'String', 'name': 'createdByActorId'}]",9,src/main/java/dz/sh/hidra/modules/configuration/api/rest/request/SetConfigurationValueRequest.java
configuration,request,package-info,[],0,src/main/java/dz/sh/hidra/modules/configuration/api/rest/request/package-info.java
configuration,response,ConfigurationDefinitionResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'namespaceId'}, {'type': 'String', 'name': 'key'}, {'type': 'String', 'name': 'displayNameFr'}, {'type': 'ConfigurationValueType', 'name': 'valueType'}, {'type': 'ConfigurationSensitivity', 'name': 'sensitivity'}, {'type': 'ConfigurationDefinitionStatus', 'name': 'status'}, {'type': 'boolean', 'name': 'scoped'}, {'type': 'boolean', 'name': 'requiresApproval'}]",9,src/main/java/dz/sh/hidra/modules/configuration/api/rest/response/ConfigurationDefinitionResponse.java
configuration,response,ConfigurationValueResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'definitionId'}, {'type': 'String', 'name': 'definitionVersionId'}, {'type': 'String', 'name': 'environment'}, {'type': 'ConfigurationValueStatus', 'name': 'status'}, {'type': 'Instant', 'name': 'effectiveFrom'}, {'type': 'Instant', 'name': 'effectiveTo'}]",7,src/main/java/dz/sh/hidra/modules/configuration/api/rest/response/ConfigurationValueResponse.java
configuration,response,FeatureFlagResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'code'}, {'type': 'String', 'name': 'nameFr'}, {'type': 'String', 'name': 'owningModule'}, {'type': 'FeatureFlagStatus', 'name': 'status'}, {'type': 'FeatureFlagEvaluationStrategy', 'name': 'evaluationStrategy'}, {'type': 'boolean', 'name': 'defaultEnabled'}]",7,src/main/java/dz/sh/hidra/modules/configuration/api/rest/response/FeatureFlagResponse.java
configuration,response,package-info,[],0,src/main/java/dz/sh/hidra/modules/configuration/api/rest/response/package-info.java
custody,request,CreateCustodyTransferTicketRequest,"[{'type': 'String', 'name': 'ticketNumber'}, {'type': 'String', 'name': 'measurementPeriodId'}, {'type': 'String', 'name': 'agreementId'}, {'type': 'String', 'name': 'transferPointId'}, {'type': 'String', 'name': 'batchId'}, {'type': 'String', 'name': 'quantityCalculationId'}, {'type': 'Instant', 'name': 'ticketDate'}, {'type': 'String', 'name': 'issuedByActorId'}, {'type': 'String', 'name': 'workflowInstanceId'}]",9,src/main/java/dz/sh/hidra/modules/custody/api/rest/request/CreateCustodyTransferTicketRequest.java
custody,request,OpenCustodyDiscrepancyRequest,"[{'type': 'String', 'name': 'discrepancyNumber'}, {'type': 'String', 'name': 'reconciliationId'}, {'type': 'String', 'name': 'discrepancyTypeId'}, {'type': 'BigDecimal', 'name': 'differenceQuantity'}, {'type': 'String', 'name': 'quantityUnitId'}, {'type': 'String', 'name': 'description'}, {'type': 'String', 'name': 'assignedActorId'}, {'type': 'Instant', 'name': 'openedAt'}]",8,src/main/java/dz/sh/hidra/modules/custody/api/rest/request/OpenCustodyDiscrepancyRequest.java
custody,request,OpenCustodyMeasurementPeriodRequest,"[{'type': 'String', 'name': 'periodCode'}, {'type': 'String', 'name': 'agreementId'}, {'type': 'String', 'name': 'transferPointId'}, {'type': 'Instant', 'name': 'periodStart'}, {'type': 'Instant', 'name': 'periodEnd'}]",5,src/main/java/dz/sh/hidra/modules/custody/api/rest/request/OpenCustodyMeasurementPeriodRequest.java
custody,request,package-info,[],0,src/main/java/dz/sh/hidra/modules/custody/api/rest/request/package-info.java
